Θユら戳,坝~N腹,齑沥毳(gO),Θユ啥,Θユ基,Θユ计q(B+S),瘠牖,环る基,}L栋Xv基 
20180928,BRF    ,201812,195651,2487,2,-,-, 
20180928,BRF    ,201812,200319,2487,2,-,-, 
20180928,BRF    ,201812,205520,2490,2,-,-, 
20180928,BRF    ,201812,210032,2490.5,2,-,-, 
20180928,BRF    ,201812,211731,2488,2,-,-, 
20180928,BRF    ,201812,212836,2492,4,-,-, 
20180928,BRF    ,201812,215330,2493.5,2,-,-, 
20180928,BRF    ,201812,221758,2500,4,-,-, 
20180928,BRF    ,201812,222304,2511,2,-,-, 
20180928,BRF    ,201812,225415,2511,6,-,-, 
20180928,BRF    ,201812,233137,2520,6,-,-, 
20180928,BRF    ,201812,233234,2523,2,-,-, 
20180928,BRF    ,201812,234021,2525.5,2,-,-, 
20180929,BRF    ,201812,2750,2526,2,-,-, 
20180929,BRF    ,201812,5511,2525.5,2,-,-, 
20180929,BRF    ,201812,10819,2527,2,-,-, 
20180929,BRF    ,201812,11008,2527,4,-,-, 
20180929,BRF    ,201812,11241,2526,4,-,-, 
20180929,BRF    ,201812,14556,2523,2,-,-, 
